Member ID,0%,12.5%,25%,37.5%,50%,62.5%,75%,87.5%,100%,Load Combination
1,103.274, 102.694, 102.115, 101.536, 100.957, 100.378, 99.798, 99.219, 98.64, #1 - Weight,
 2, 126.534, 125.955, 125.376, 124.796, 124.217, 123.638, 123.059, 122.48, 121.9, #1 - Weight,
 3, 152.119, 151.54, 150.96, 150.381, 149.802, 149.223, 148.644, 148.064, 147.485, #1 - Weight,
 4, 103.422, 102.843, 102.264, 101.685, 101.106, 100.526, 99.947, 99.368, 98.789, #1 - Weight,
 5, 103.595, 103.016, 102.437, 101.857, 101.278, 100.699, 100.12, 99.541, 98.961, #1 - Weight,
 6, 116.408, 115.829, 115.249, 114.67, 114.091, 113.512, 112.933, 112.353, 111.774, #1 - Weight,
 7, 116.671, 116.092, 115.513, 114.934, 114.355, 113.775, 113.196, 112.617, 112.038, #1 - Weight,
 8, 103.599, 103.02, 102.441, 101.861, 101.282, 100.703, 100.124, 99.545, 98.965, #1 - Weight,
 9, -9.372, -9.372, -9.372, -9.372, -9.372, -9.372, -9.372, -9.372, -9.372, #1 - Weight,
 10, -4.438, -4.438, -4.438, -4.438, -4.438, -4.438, -4.438, -4.438, -4.438, #1 - Weight,
 11, -9.448, -9.448, -9.448, -9.448, -9.448, -9.448, -9.448, -9.448, -9.448, #1 - Weight,
 12, -8.881, -8.881, -8.881, -8.881, -8.881, -8.881, -8.881, -8.881, -8.881, #1 - Weight,
 13, -1.875, -1.875, -1.875, -1.875, -1.875, -1.875, -1.875, -1.875, -1.875, #1 - Weight,
 14, -8.823, -8.823, -8.823, -8.823, -8.823, -8.823, -8.823, -8.823, -8.823, #1 - Weight,
 15, -3.97, -3.97, -3.97, -3.97, -3.97, -3.97, -3.97, -3.97, -3.97, #1 - Weight,
 16, -3.972, -3.972, -3.972, -3.972, -3.972, -3.972, -3.972, -3.972, -3.972, #1 - Weight,
 17, -3.965, -3.965, -3.965, -3.965, -3.965, -3.965, -3.965, -3.965, -3.965, #1 - Weight,
 18, -3.965, -3.965, -3.965, -3.965, -3.965, -3.965, -3.965, -3.965, -3.965, #1 - Weight,
 19, -8.819, -8.819, -8.819, -8.819, -8.819, -8.819, -8.819, -8.819, -8.819, #1 - Weight,
 20, 89.458, 88.575, 87.692, 86.81, 85.927, 85.045, 84.162, 83.279, 82.397, #1 - Weight,
 21, 111.108, 110.225, 109.343, 108.46, 107.578, 106.695, 105.812, 104.93, 104.047, #1 - Weight,
 22, 136.929, 132.709, 128.489, 124.268, 120.048, 115.828, 111.608, 107.388, 103.167, #1 - Weight,
