Member ID,0%,12.5%,25%,37.5%,50%,62.5%,75%,87.5%,100%,Load Combination
1,0.528, 0.342, 0.157, -0.029, -0.215, -0.401, -0.587, -0.772, -0.958, #1 - Weight,
 2, 0.297, 0.152, 0.007, -0.138, -0.284, -0.429, -0.574, -0.719, -0.865, #1 - Weight,
 3, 0.322, 0.169, 0.016, -0.136, -0.289, -0.442, -0.594, -0.747, -0.899, #1 - Weight,
 4, 0.526, 0.34, 0.154, -0.032, -0.218, -0.404, -0.59, -0.776, -0.962, #1 - Weight,
 5, -0.407, -0.229, -0.052, 0.126, 0.304, 0.481, 0.659, 0.836, 1.014, #1 - Weight,
 6, -0.484, -0.323, -0.163, -0.002, 0.158, 0.318, 0.479, 0.639, 0.8, #1 - Weight,
 7, -0.462, -0.308, -0.154, 0, 0.154, 0.308, 0.462, 0.615, 0.769, #1 - Weight,
 8, -0.41, -0.232, -0.054, 0.123, 0.301, 0.479, 0.657, 0.834, 1.012, #1 - Weight,
 9, -0.052, -0.039, -0.025, -0.012, 0.002, 0.016, 0.029, 0.043, 0.056, #1 - Weight,
 10, 0.027, 0.026, 0.025, 0.025, 0.024, 0.023, 0.022, 0.022, 0.021, #1 - Weight,
 11, 0.001, -0.002, -0.006, -0.009, -0.012, -0.016, -0.019, -0.023, -0.026, #1 - Weight,
 12, -0.056, -0.045, -0.035, -0.025, -0.014, -0.004, 0.006, 0.017, 0.027, #1 - Weight,
 13, -0.148, -0.149, -0.149, -0.15, -0.15, -0.151, -0.152, -0.152, -0.153, #1 - Weight,
 14, 0.18, 0.148, 0.116, 0.084, 0.052, 0.02, -0.012, -0.044, -0.077, #1 - Weight,
 15, 0.067, 0.051, 0.034, 0.017, 0, -0.016, -0.033, -0.05, -0.067, #1 - Weight,
 16, -0.068, -0.051, -0.034, -0.017, 0, 0.017, 0.033, 0.05, 0.067, #1 - Weight,
 17, 0.107, 0.059, 0.01, -0.039, -0.087, -0.136, -0.184, -0.233, -0.281, #1 - Weight,
 18, -0.11, -0.061, -0.011, 0.038, 0.087, 0.137, 0.186, 0.235, 0.284, #1 - Weight,
 19, -0.077, -0.045, -0.012, 0.02, 0.052, 0.084, 0.117, 0.149, 0.181, #1 - Weight,
 20, -2.995, -1.712, -0.428, 0.855, 2.138, 3.422, 4.705, 5.988, 7.271, #1 - Weight,
 21, -3.087, -1.717, -0.348, 1.022, 2.391, 3.761, 5.13, 6.5, 7.869, #1 - Weight,
 22, -3.046, -1.69, -0.335, 1.021, 2.377, 3.733, 5.089, 6.445, 7.801, #1 - Weight,
 23, -2.997, -1.713, -0.429, 0.854, 2.138, 3.422, 4.706, 5.99, 7.274, #1 - Weight,
 24, 3.289, 1.955, 0.621, -0.712, -2.046, -3.38, -4.714, -6.048, -7.382, #1 - Weight,
 25, 3.456, 2.149, 0.843, -0.464, -1.77, -3.077, -4.383, -5.689, -6.996, #1 - Weight,
 26, 3.489, 2.171, 0.853, -0.465, -1.783, -3.101, -4.419, -5.737, -7.054, #1 - Weight,
 27, 3.289, 1.955, 0.62, -0.714, -2.048, -3.382, -4.717, -6.051, -7.385, #1 - Weight,
 28, 0, 0.001, 0.001, 0.002, 0.002, 0.003, 0.003, 0.004, 0.004, #1 - Weight,
 29, -0.029, -0.013, 0.004, 0.002, -0.001, 0.002, 0.005, -0.014, , #1 - Weight,
 30, 0.005, 0.004, 0.004, 0.003, 0.002, 0.002, 0.001, 0.001, 0, #1 - Weight,
 31, 0.016, 0.01, 0.003, -0.003, -0.01, -0.016, -0.023, -0.029, -0.036, #1 - Weight,
 32, 0, 0, 0, 0, 0, 0, 0, 0, , #1 - Weight,
 33, -0.036, -0.029, -0.023, -0.016, -0.01, -0.003, 0.004, 0.01, 0.017, #1 - Weight,
 34, 0.001, 0.004, 0.005, 0, -0.001, 0, 0.005, 0.003, -0.005, #1 - Weight,
 35, -0.004, -0.005, -0.004, 0, 0.001, 0, -0.006, -0.002, 0.008, #1 - Weight,
 36, -0.02, -0.011, -0.001, 0.008, 0.018, 0.027, 0.037, 0.047, 0.056, #1 - Weight,
 37, 0.021, 0.011, 0.002, -0.008, -0.018, -0.027, -0.037, -0.047, -0.056, #1 - Weight,
 38, -0.026, -0.023, -0.019, -0.016, -0.012, -0.009, -0.005, -0.001, 0.002, #1 - Weight,
 39, -7.558, -6.26, -4.963, -3.665, -2.368, -1.07, 0.227, 1.525, 2.822, #1 - Weight,
 40, -8.396, -6.944, -5.492, -4.04, -2.588, -1.136, 0.316, 1.769, 3.221, #1 - Weight,
 41, -8.34, -6.903, -5.465, -4.027, -2.59, -1.152, 0.286, 1.723, 3.161, #1 - Weight,
 42, -7.565, -6.266, -4.968, -3.67, -2.371, -1.073, 0.225, 1.524, 2.822, #1 - Weight,
 43, 7.696, 6.343, 4.99, 3.638, 2.285, 0.932, -0.421, -1.774, -3.127, #1 - Weight,
 44, 7.408, 6.024, 4.641, 3.258, 1.875, 0.491, -0.892, -2.275, -3.658, #1 - Weight,
 45, 7.456, 6.059, 4.662, 3.266, 1.869, 0.473, -0.924, -2.321, -3.717, #1 - Weight,
 46, 7.695, 6.342, 4.989, 3.636, 2.283, 0.931, -0.422, -1.775, -3.128, #1 - Weight,
 47, 0.092, 0.067, 0.042, 0.016, -0.009, -0.034, -0.059, -0.085, -0.11, #1 - Weight,
 48, -0.065, -0.06, -0.055, -0.05, -0.044, -0.039, -0.034, -0.029, -0.023, #1 - Weight,
