Member ID,0%,12.5%,25%,37.5%,50%,62.5%,75%,87.5%,100%,Load Combination
1,-0.673, -0.368, -0.062, 0.243, 0.548, 0.854, 1.159, 1.464, 1.769, #1 - Weight,
 2, 0.297, 0.188, 0.079, -0.029, -0.138, -0.247, -0.355, -0.464, -0.573, #1 - Weight,
 3, -0.291, -0.191, -0.09, 0.01, 0.11, 0.21, 0.31, 0.411, 0.511, #1 - Weight,
 4, 0.648, 0.346, 0.043, -0.259, -0.561, -0.864, -1.166, -1.468, -1.77, #1 - Weight,
 5, -0.26, -0.043, 0.174, 0.39, 0.607, 0.823, 1.04, 1.257, 1.473, #1 - Weight,
 6, 1.021, 0.71, 0.399, 0.088, -0.223, -0.534, -0.845, -1.156, -1.467, #1 - Weight,
 7, -1.049, -0.735, -0.421, -0.108, 0.206, 0.52, 0.833, 1.147, 1.461, #1 - Weight,
 8, 0.232, 0.018, -0.196, -0.41, -0.624, -0.838, -1.051, -1.265, -1.479, #1 - Weight,
 9, -6.169, -4.608, -3.162, -1.83, -0.614, 0.488, 1.475, 2.346, 3.103, #1 - Weight,
 10, -0.884, -0.282, 0.155, 0.426, 0.532, 0.472, 0.247, -0.144, -0.7, #1 - Weight,
 11, -4.965, -3.055, -1.403, -0.011, 1.123, 1.999, 2.616, 2.974, 3.074, #1 - Weight,
 12, -6.186, -4.624, -3.178, -1.846, -0.629, 0.473, 1.459, 2.331, 3.088, #1 - Weight,
 13, -0.59, -0.012, 0.4, 0.647, 0.729, 0.645, 0.395, -0.02, -0.6, #1 - Weight,
 14, -5.083, -3.154, -1.484, -0.073, 1.08, 1.975, 2.611, 2.988, 3.106, #1 - Weight,
 15, -1.454, -0.568, 0.059, 0.428, 0.538, 0.39, -0.017, -0.683, -1.607, #1 - Weight,
 16, -1.458, -0.571, 0.057, 0.427, 0.538, 0.391, -0.015, -0.68, -1.603, #1 - Weight,
 17, -1.725, -0.911, -0.263, 0.22, 0.537, 0.689, 0.676, 0.496, 0.152, #1 - Weight,
 18, -1.804, -0.973, -0.307, 0.193, 0.528, 0.697, 0.7, 0.538, 0.211, #1 - Weight,
 19, 3.1, 2.98, 2.603, 1.966, 1.071, -0.082, -1.494, -3.165, -5.094, #1 - Weight,
 20, 7.911, 4.645, 1.379, -1.886, -5.152, -8.418, -11.684, -14.949, -18.215, #1 - Weight,
 21, -4.554, -2.787, -1.02, 0.747, 2.514, 4.281, 6.048, 7.815, 9.582, #1 - Weight,
 22, 4.609, 2.823, 1.036, -0.75, -2.537, -4.323, -6.109, -7.896, -9.682, #1 - Weight,
 23, -7.955, -4.679, -1.403, 1.873, 5.149, 8.425, 11.701, 14.977, 18.253, #1 - Weight,
 24, 7.687, 4.447, 1.207, -2.033, -5.273, -8.513, -11.754, -14.994, -18.234, #1 - Weight,
 25, -6.13, -3.761, -1.392, 0.977, 3.347, 5.716, 8.085, 10.454, 12.823, #1 - Weight,
 26, 6.11, 3.744, 1.378, -0.988, -3.354, -5.72, -8.087, -10.453, -12.819, #1 - Weight,
 27, -7.715, -4.469, -1.223, 2.023, 5.269, 8.516, 11.762, 15.008, 18.254, #1 - Weight,
 28, -17.457, -3.993, 5.493, 11.001, 12.531, 10.084, 3.659, -6.743, -21.123, #1 - Weight,
 29, -6.482, -4.007, -2.418, -1.26, -1.019, -1.196, -2.32, -3.788, , #1 - Weight,
