Member ID,0%,12.5%,25%,37.5%,50%,62.5%,75%,87.5%,100%,Load Combination
1,1.163, 1.163, 1.163, 1.163, 1.163, 1.163, 1.163, 1.163, 1.163, #1 - Weight,
 2, -0.414, -0.414, -0.414, -0.414, -0.414, -0.414, -0.414, -0.414, -0.414, #1 - Weight,
 3, 0.382, 0.382, 0.382, 0.382, 0.382, 0.382, 0.382, 0.382, 0.382, #1 - Weight,
 4, -1.151, -1.151, -1.151, -1.151, -1.151, -1.151, -1.151, -1.151, -1.151, #1 - Weight,
 5, 0.825, 0.825, 0.825, 0.825, 0.825, 0.825, 0.825, 0.825, 0.825, #1 - Weight,
 6, -1.185, -1.185, -1.185, -1.185, -1.185, -1.185, -1.185, -1.185, -1.185, #1 - Weight,
 7, 1.195, 1.195, 1.195, 1.195, 1.195, 1.195, 1.195, 1.195, 1.195, #1 - Weight,
 8, -0.815, -0.815, -0.815, -0.815, -0.815, -0.815, -0.815, -0.815, -0.815, #1 - Weight,
 9, 6.475, 6.015, 5.556, 5.096, 4.636, 4.177, 3.717, 3.257, 2.798, #1 - Weight,
 10, 2.283, 1.731, 1.18, 0.628, 0.076, -0.475, -1.027, -1.578, -2.13, #1 - Weight,
 11, 5.438, 4.748, 4.059, 3.369, 2.68, 1.99, 1.301, 0.611, -0.078, #1 - Weight,
 12, 6.476, 6.016, 5.556, 5.097, 4.637, 4.177, 3.718, 3.258, 2.798, #1 - Weight,
 13, 2.202, 1.651, 1.099, 0.547, -0.004, -0.556, -1.107, -1.659, -2.211, #1 - Weight,
 14, 5.488, 4.798, 4.109, 3.419, 2.73, 2.04, 1.351, 0.661, -0.028, #1 - Weight,
 15, 2.707, 2.018, 1.328, 0.639, -0.051, -0.74, -1.43, -2.12, -2.809, #1 - Weight,
 16, 2.71, 2.02, 1.331, 0.641, -0.048, -0.738, -1.427, -2.117, -2.806, #1 - Weight,
 17, 2.988, 2.437, 1.885, 1.333, 0.782, 0.23, -0.321, -0.873, -1.425, #1 - Weight,
 18, 3.046, 2.494, 1.943, 1.391, 0.839, 0.288, -0.264, -0.815, -1.367, #1 - Weight,
 19, 0.027, -0.663, -1.352, -2.042, -2.731, -3.421, -4.11, -4.8, -5.489, #1 - Weight,
 20, -8.164, -8.164, -8.164, -8.164, -8.164, -8.164, -8.164, -8.164, -8.164, #1 - Weight,
 21, 4.417, 4.417, 4.417, 4.417, 4.417, 4.417, 4.417, 4.417, 4.417, #1 - Weight,
 22, -4.466, -4.466, -4.466, -4.466, -4.466, -4.466, -4.466, -4.466, -4.466, #1 - Weight,
 23, 8.19, 8.19, 8.19, 8.19, 8.19, 8.19, 8.19, 8.19, 8.19, #1 - Weight,
 24, -8.1, -8.1, -8.1, -8.1, -8.1, -8.1, -8.1, -8.1, -8.1, #1 - Weight,
 25, 5.923, 5.923, 5.923, 5.923, 5.923, 5.923, 5.923, 5.923, 5.923, #1 - Weight,
 26, -5.915, -5.915, -5.915, -5.915, -5.915, -5.915, -5.915, -5.915, -5.915, #1 - Weight,
 27, 8.115, 8.115, 8.115, 8.115, 8.115, 8.115, 8.115, 8.115, 8.115, #1 - Weight,
 28, 24.724, 18.359, 11.995, 5.631, -0.733, -7.098, -13.462, -19.826, -26.19, #1 - Weight,
 29, 9.779, 6.724, 5.388, 2.333, 0.94, -2.115, -3.365, -6.42, , #1 - Weight,
 30, 26.154, 19.79, 13.425, 7.061, 0.697, -5.667, -12.031, -18.396, -24.76, #1 - Weight,
 31, 24.934, 18.57, 12.206, 5.842, -0.522, -6.887, -13.251, -19.615, -25.979, #1 - Weight,
 32, 7.473, 4.418, 4.712, 1.657, 1.409, -1.646, -1.374, -4.429, , #1 - Weight,
 33, 25.968, 19.604, 13.24, 6.875, 0.511, -5.853, -12.217, -18.581, -24.946, #1 - Weight,
 34, 29.942, 26.124, 10.167, 6.349, -0.12, -6.615, -10.433, -26.425, -30.244, #1 - Weight,
 35, 29.965, 26.147, 10.171, 6.353, -0.119, -6.614, -10.432, -26.424, -30.243, #1 - Weight,
 36, 14.685, 10.866, 7.047, 3.229, -0.59, -4.408, -8.227, -12.045, -15.864, #1 - Weight,
 37, 14.745, 10.926, 7.108, 3.289, -0.529, -4.348, -8.166, -11.985, -15.803, #1 - Weight,
