Member ID,0%,12.5%,25%,37.5%,50%,62.5%,75%,87.5%,100%,Load Combination
1,-0.708, -0.708, -0.708, -0.708, -0.708, -0.708, -0.708, -0.708, -0.708, #1 - Weight,
 2, -0.553, -0.553, -0.553, -0.553, -0.553, -0.553, -0.553, -0.553, -0.553, #1 - Weight,
 3, -0.581, -0.581, -0.581, -0.581, -0.581, -0.581, -0.581, -0.581, -0.581, #1 - Weight,
 4, -0.708, -0.708, -0.708, -0.708, -0.708, -0.708, -0.708, -0.708, -0.708, #1 - Weight,
 5, 0.677, 0.677, 0.677, 0.677, 0.677, 0.677, 0.677, 0.677, 0.677, #1 - Weight,
 6, 0.611, 0.611, 0.611, 0.611, 0.611, 0.611, 0.611, 0.611, 0.611, #1 - Weight,
 7, 0.586, 0.586, 0.586, 0.586, 0.586, 0.586, 0.586, 0.586, 0.586, #1 - Weight,
 8, 0.677, 0.677, 0.677, 0.677, 0.677, 0.677, 0.677, 0.677, 0.677, #1 - Weight,
 9, 0.054, 0.054, 0.054, 0.054, 0.054, 0.054, 0.054, 0.054, 0.054, #1 - Weight,
 10, -0.002, -0.002, -0.002, -0.002, -0.002, -0.002, -0.002, -0.002, -0.002, #1 - Weight,
 11, -0.009, -0.009, -0.009, -0.009, -0.009, -0.009, -0.009, -0.009, -0.009, #1 - Weight,
 12, 0.041, 0.041, 0.041, 0.041, 0.041, 0.041, 0.041, 0.041, 0.041, #1 - Weight,
 13, -0.002, -0.002, -0.002, -0.002, -0.002, -0.002, -0.002, -0.002, -0.002, #1 - Weight,
 14, -0.086, -0.086, -0.086, -0.086, -0.086, -0.086, -0.086, -0.086, -0.086, #1 - Weight,
 15, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, -0.045, #1 - Weight,
 16, 0.045, 0.045, 0.045, 0.045, 0.045, 0.045, 0.045, 0.045, 0.045, #1 - Weight,
 17, -0.162, -0.162, -0.162, -0.162, -0.162, -0.162, -0.162, -0.162, -0.162, #1 - Weight,
 18, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, 0.164, #1 - Weight,
 19, 0.086, 0.086, 0.086, 0.086, 0.086, 0.086, 0.086, 0.086, 0.086, #1 - Weight,
 20, 3.208, 3.208, 3.208, 3.208, 3.208, 3.208, 3.208, 3.208, 3.208, #1 - Weight,
 21, 3.424, 3.424, 3.424, 3.424, 3.424, 3.424, 3.424, 3.424, 3.424, #1 - Weight,
 22, 3.39, 3.39, 3.39, 3.39, 3.39, 3.39, 3.39, 3.39, 3.39, #1 - Weight,
 23, 3.21, 3.21, 3.21, 3.21, 3.21, 3.21, 3.21, 3.21, 3.21, #1 - Weight,
 24, -3.335, -3.335, -3.335, -3.335, -3.335, -3.335, -3.335, -3.335, -3.335, #1 - Weight,
 25, -3.266, -3.266, -3.266, -3.266, -3.266, -3.266, -3.266, -3.266, -3.266, #1 - Weight,
 26, -3.295, -3.295, -3.295, -3.295, -3.295, -3.295, -3.295, -3.295, -3.295, #1 - Weight,
 27, -3.336, -3.336, -3.336, -3.336, -3.336, -3.336, -3.336, -3.336, -3.336, #1 - Weight,
 28, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, #1 - Weight,
 29, 0.056, 0.056, -0.008, -0.008, 0.009, 0.009, -0.062, -0.062, , #1 - Weight,
 30, -0.001, -0.001, -0.001, -0.001, -0.001, -0.001, -0.001, -0.001, -0.001, #1 - Weight,
 31, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, #1 - Weight,
 32, 0.001, 0.001, 0, 0, 0, 0, -0.001, -0.001, , #1 - Weight,
 33, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, #1 - Weight,
 34, 0.009, 0.009, -0.011, -0.011, 0, 0.014, 0.014, -0.021, -0.021, #1 - Weight,
 35, -0.004, -0.004, 0.011, 0.011, 0.001, -0.015, -0.015, 0.027, 0.027, #1 - Weight,
 36, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, #1 - Weight,
 37, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, -0.026, #1 - Weight,
 38, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, #1 - Weight,
 39, 3.46, 3.46, 3.46, 3.46, 3.46, 3.46, 3.46, 3.46, 3.46, #1 - Weight,
 40, 3.872, 3.872, 3.872, 3.872, 3.872, 3.872, 3.872, 3.872, 3.872, #1 - Weight,
 41, 3.834, 3.834, 3.834, 3.834, 3.834, 3.834, 3.834, 3.834, 3.834, #1 - Weight,
 42, 3.462, 3.462, 3.462, 3.462, 3.462, 3.462, 3.462, 3.462, 3.462, #1 - Weight,
 43, -3.608, -3.608, -3.608, -3.608, -3.608, -3.608, -3.608, -3.608, -3.608, #1 - Weight,
 44, -3.689, -3.689, -3.689, -3.689, -3.689, -3.689, -3.689, -3.689, -3.689, #1 - Weight,
 45, -3.724, -3.724, -3.724, -3.724, -3.724, -3.724, -3.724, -3.724, -3.724, #1 - Weight,
 46, -3.607, -3.607, -3.607, -3.607, -3.607, -3.607, -3.607, -3.607, -3.607, #1 - Weight,
 47, -0.101, -0.101, -0.101, -0.101, -0.101, -0.101, -0.101, -0.101, -0.101, #1 - Weight,
 48, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, #1 - Weight,
 49, -0.018, -0.018, -0.018, -0.018, -0.018, -0.018, -0.018, -0.018, -0.018, #1 - Weight,
 50, -0.047, -0.047, -0.047, -0.047, -0.047, -0.047, -0.047, -0.047, -0.047, #1 - Weight,
 51, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, #1 - Weight,
 52, 0.163, 0.163, 0.163, 0.163, 0.163, 0.163, 0.163, 0.163, 0.163, #1 - Weight,
