Member ID,0%,12.5%,25%,37.5%,50%,62.5%,75%,87.5%,100%,Load Combination
1,0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, #1 - Weight,
 2, -0.047, -0.047, -0.047, -0.047, -0.047, -0.047, -0.047, -0.047, -0.047, #1 - Weight,
 3, 0.047, 0.047, 0.047, 0.047, 0.047, 0.047, 0.047, 0.047, 0.047, #1 - Weight,
 4, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, #1 - Weight,
 5, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, #1 - Weight,
 6, 0.219, 0.219, 0.219, 0.219, 0.219, 0.219, 0.219, 0.219, 0.219, #1 - Weight,
 7, -0.219, -0.219, -0.219, -0.219, -0.219, -0.219, -0.219, -0.219, -0.219, #1 - Weight,
 8, -0.009, -0.009, -0.009, -0.009, -0.009, -0.009, -0.009, -0.009, -0.009, #1 - Weight,
 9, -0.583, -0.583, -0.583, -0.583, -0.583, -0.583, -0.583, -0.583, -0.583, #1 - Weight,
 10, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, #1 - Weight,
 11, -0.419, -0.419, -0.419, -0.419, -0.419, -0.419, -0.419, -0.419, -0.419, #1 - Weight,
 12, 0.668, 0.668, 0.668, 0.668, 0.668, 0.668, 0.668, 0.668, 0.668, #1 - Weight,
 13, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, #1 - Weight,
 14, 0.378, 0.378, 0.378, 0.378, 0.378, 0.378, 0.378, 0.378, 0.378, #1 - Weight,
 15, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, -0.028, #1 - Weight,
 16, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, #1 - Weight,
 17, -0.166, -0.166, -0.166, -0.166, -0.166, -0.166, -0.166, -0.166, -0.166, #1 - Weight,
 18, 0.159, 0.159, 0.159, 0.159, 0.159, 0.159, 0.159, 0.159, 0.159, #1 - Weight,
 19, -0.376, -0.376, -0.376, -0.376, -0.376, -0.376, -0.376, -0.376, -0.376, #1 - Weight,
 20, -0.009, -0.009, -0.009, -0.009, -0.009, -0.009, -0.009, -0.009, -0.009, #1 - Weight,
 21, 0.038, 0.038, 0.038, 0.038, 0.038, 0.038, 0.038, 0.038, 0.038, #1 - Weight,
 22, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, #1 - Weight,
 23, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, #1 - Weight,
 24, -0.004, -0.004, -0.004, -0.004, -0.004, -0.004, -0.004, -0.004, -0.004, #1 - Weight,
 25, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, -0.194, #1 - Weight,
 26, 0.194, 0.194, 0.194, 0.194, 0.194, 0.194, 0.194, 0.194, 0.194, #1 - Weight,
 27, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, #1 - Weight,
 28, -0.091, -0.091, -0.091, -0.091, -0.091, -0.091, -0.091, -0.091, -0.091, #1 - Weight,
 29, -3.272, -3.272, -0.422, -0.422, 0.475, 0.475, 3.285, 3.285, , #1 - Weight,
 30, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, 0.084, #1 - Weight,
 31, -0.079, -0.079, -0.079, -0.079, -0.079, -0.079, -0.079, -0.079, -0.079, #1 - Weight,
 32, -4.083, -4.083, -1.5, -1.5, 1.55, 1.55, 4.12, 4.12, , #1 - Weight,
 33, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, 0.074, #1 - Weight,
 34, 13.496, 13.496, 4.918, 4.918, 0.031, -4.836, -4.836, -13.304, -13.304, #1 - Weight,
 35, -13.521, -13.521, -4.922, -4.922, -0.023, 4.851, 4.851, 13.325, 13.325, #1 - Weight,
 36, 0.553, 0.553, 0.553, 0.553, 0.553, 0.553, 0.553, 0.553, 0.553, #1 - Weight,
 37, -0.569, -0.569, -0.569, -0.569, -0.569, -0.569, -0.569, -0.569, -0.569, #1 - Weight,
 38, 0.421, 0.421, 0.421, 0.421, 0.421, 0.421, 0.421, 0.421, 0.421, #1 - Weight,
 39, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, #1 - Weight,
 40, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, #1 - Weight,
 41, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, #1 - Weight,
 42, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, #1 - Weight,
 43, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, #1 - Weight,
 44, -0.286, -0.286, -0.286, -0.286, -0.286, -0.286, -0.286, -0.286, -0.286, #1 - Weight,
 45, 0.286, 0.286, 0.286, 0.286, 0.286, 0.286, 0.286, 0.286, 0.286, #1 - Weight,
 46, 0.029, 0.029, 0.029, 0.029, 0.029, 0.029, 0.029, 0.029, 0.029, #1 - Weight,
 47, -0.94, -0.94, -0.94, -0.94, -0.94, -0.94, -0.94, -0.94, -0.94, #1 - Weight,
 48, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, #1 - Weight,
 49, -0.628, -0.628, -0.628, -0.628, -0.628, -0.628, -0.628, -0.628, -0.628, #1 - Weight,
 50, 1.057, 1.057, 1.057, 1.057, 1.057, 1.057, 1.057, 1.057, 1.057, #1 - Weight,
 51, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034, #1 - Weight,
 52, 0.552, 0.552, 0.552, 0.552, 0.552, 0.552, 0.552, 0.552, 0.552, #1 - Weight,
 53, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017, #1 - Weight,
 54, -0.015, -0.015, -0.015, -0.015, -0.015, -0.015, -0.015, -0.015, -0.015, #1 - Weight,
 55, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, #1 - Weight,
 56, 0.277, 0.277, 0.277, 0.277, 0.277, 0.277, 0.277, 0.277, 0.277, #1 - Weight,
 59, 0.625, 0.625, 0.625, 0.625, 0.625, 0.625, 0.625, 0.625, 0.625, #1 - Weight,
 60, -0.556, -0.556, -0.556, -0.556, -0.556, -0.556, -0.556, -0.556, -0.556, #1 - Weight,
 61, 0.577, 0.577, 0.577, 0.577, 0.577, 0.577, 0.577, 0.577, 0.577, #1 - Weight,
 62, -0.674, -0.674, -0.674, -0.674, -0.674, -0.674, -0.674, -0.674, -0.674, #1 - Weight,
 65, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928, #1 - Weight,
 66, -1.07, -1.07, -1.07, -1.07, -1.07, -1.07, -1.07, -1.07, -1.07, #1 - Weight,
 67, -0.011, -0.011, -0.011, -0.011, -0.011, -0.011, -0.011, -0.011, -0.011, #1 - Weight,
