beam_mark	beam_width	beam_depth	db	support1_top	support1_bot	midspan_top	midspan_bot	support2_top	support2_bot	ds	stirrups_spacing
9	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
10	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
11	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
12	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
13	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
14	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
15	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
16	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
17	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
18	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
19	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
28	250	300	16	3	2	2	2	3	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
29	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
30	250	300	16	3	2	2	2	3	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
31	250	300	16	3	2	2	2	3	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
32	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
33	250	300	16	3	2	2	2	3	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
34	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
35	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
36	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
37	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
38	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
47	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
48	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
49	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
50	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
51	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
52	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
53	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
54	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
55	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
56	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
59	250	300	16	2	2	2	2	2	2	10	112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
