member_id	Pu	My	Mz	Sy	Sz	section
1	103.274	0.528	0.673	1.163	0.708	column1
1	102.694	0.342	0.368	1.163	0.708	column1
1	102.115	0.157	0.062	1.163	0.708	column1
1	101.536	0.029	0.243	1.163	0.708	column1
1	100.957	0.215	0.548	1.163	0.708	column1
1	100.378	0.401	0.854	1.163	0.708	column1
1	99.798	0.587	1.159	1.163	0.708	column1
1	99.219	0.772	1.464	1.163	0.708	column1
1	98.64	0.958	1.769	1.163	0.708	column1
1	144.583	0.739	0.942	1.628	0.991	column1
1	143.772	0.479	0.515	1.628	0.991	column1
1	142.961	0.219	0.087	1.628	0.991	column1
1	142.15	0.041	0.34	1.628	0.991	column1
1	141.339	0.301	0.768	1.628	0.991	column1
1	140.529	0.561	1.195	1.628	0.991	column1
1	139.718	0.821	1.622	1.628	0.991	column1
1	138.907	1.081	2.05	1.628	0.991	column1
1	138.096	1.341	2.477	1.628	0.991	column1
1	131.056	0.744	0.907	1.55	0.969	column1
1	130.361	0.49	0.5	1.55	0.969	column1
1	129.666	0.236	0.093	1.55	0.969	column1
1	128.971	0.019	0.313	1.55	0.969	column1
1	128.276	0.273	0.72	1.55	0.969	column1
1	127.581	0.528	1.127	1.55	0.969	column1
1	126.885	0.782	1.534	1.55	0.969	column1
1	126.19	1.036	1.941	1.55	0.969	column1
1	125.495	1.291	2.347	1.55	0.969	column1
1	137.468	1.056	1.295	2.148	1.332	column1
1	136.773	0.706	0.731	2.148	1.332	column1
1	136.078	0.356	0.167	2.148	1.332	column1
1	135.382	0.007	0.397	2.148	1.332	column1
1	134.687	0.343	0.961	2.148	1.332	column1
1	133.992	0.693	1.525	2.148	1.332	column1
1	133.297	1.042	2.088	2.148	1.332	column1
1	132.602	1.392	2.652	2.148	1.332	column1
1	131.907	1.742	3.216	2.148	1.332	column1
1	1.125	0.008	0.021	0.032	0.012	column1
1	1.125	0.005	0.012	0.032	0.012	column1
1	1.125	0.002	0.004	0.032	0.012	column1
1	1.125	0.001	0.004	0.032	0.012	column1
1	1.125	0.004	0.013	0.032	0.012	column1
1	1.125	0.008	0.021	0.032	0.012	column1
1	1.125	0.011	0.029	0.032	0.012	column1
1	1.125	0.014	0.037	0.032	0.012	column1
1	1.125	0.017	0.046	0.032	0.012	column1
1	1.125	0.008	0.021	0.032	0.012	column1
1	1.125	0.005	0.012	0.032	0.012	column1
1	1.125	0.002	0.004	0.032	0.012	column1
1	1.125	0.001	0.004	0.032	0.012	column1
1	1.125	0.004	0.013	0.032	0.012	column1
1	1.125	0.008	0.021	0.032	0.012	column1
1	1.125	0.011	0.029	0.032	0.012	column1
1	1.125	0.014	0.037	0.032	0.012	column1
1	1.125	0.017	0.046	0.032	0.012	column1
1	1.125	0.008	0.021	0.032	0.012	column1
1	1.125	0.005	0.012	0.032	0.012	column1
